Name	Epoch	Episode	TotalEnvInteracts	TotalUpdateSteps	Random	NDomSet	RL	MAP_TRAIN	MAP_TEST	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	V	LossPi	LossV	KL	Entropy	ClipFrac	DeltaLossPi	DeltaLossV	Time	time_act	time_step	time_add	time_candi	time_update	time_sum	time_act_ratio	time_step_ratio	time_add_ratio	time_candi_ratio	time_update_ratio	time_sum_ratio
mnist-LSH-ent-0.04-512-16	0	256	64	1	0.0	0.0	0.0	0.16117137670516968	0.15893688797950745	0.16117137670516968	0.008840417912220663	0.18074632	0.14264426	0.15069279074668884	-0.24860654771327972	0.022200200706720352	0.01662842556834221	6.2151641845703125	0.002197265625	-0.043392613530159	-0.02193591557443142	16.580211877822876	0.37705564498901367	15.862088441848755	0.008080720901489258	9.679794311523438e-05	0.3202478885650635	16.579039196832277	0.022742912934366963	0.9567555908112872	0.0004874058626408957	5.838573753642453e-06	0.019316432319325994	0.9993081805013748
mnist-LSH-ent-0.04-512-16	1	512	128	2	0.0	0.0	0.0	0.16377168893814087	0.16264379024505615	0.16377168893814087	0.008508749163975291	0.18218376	0.14483444	0.15137125551700592	-0.24856537580490112	0.006995250005275011	0.015347128733992577	6.214134693145752	0.22900390625	-0.09383070468902588	-0.006890619173645973	33.02278137207031	0.5231437683105469	15.060834169387817	0.007868051528930664	8.869171142578125e-05	0.8131997585296631	16.41407928930054	0.03187164866758968	0.9175558314260838	0.0004793477227845138	5.403392408588805e-06	0.04954281895419773	0.9994550501630642
mnist-LSH-ent-0.04-512-16	2	768	192	3	0.0	0.0	0.0	0.16307705640792847	0.16761592030525208	0.16307705640792847	0.00960218672494898	0.18732652	0.14614904	0.15091019868850708	-0.2482515424489975	0.004525946453213692	0.008286086842417717	6.206288814544678	0.65966796875	-0.13977600634098053	-0.004455873742699623	52.104578256607056	0.5833685398101807	15.878184795379639	0.007750034332275391	8.320808410644531e-05	2.580681800842285	19.057499747140504	0.03061096930607136	0.8331725045811474	0.00040666584993334447	4.366159528294383e-06	0.13541554952556173	0.9996100554222422
mnist-LSH-ent-0.04-512-16	3	1024	256	4	0.0	0.0	0.0	0.16277238726615906	0.16755034029483795	0.16277238726615906	0.009684325599867538	0.18961091	0.14423124	0.15194015204906464	-0.2479182928800583	0.003298620693385601	0.0132564976811409	6.197957515716553	0.72802734375	-0.143615260720253	-0.003237393917515874	70.65500068664551	0.55322265625	15.388148069381714	0.007813692092895508	8.702278137207031e-05	2.565946340560913	18.526644091470338	0.029860921034517176	0.8305955462525678	0.00042175431526171163	4.697169165792718e-06	0.1385003310849089	0.9993832498564215
mnist-LSH-ent-0.04-512-16	4	1280	320	5	0.0	0.0	0.0	0.16540467739105225	0.16678589582443237	0.16540467739105225	0.009199872265774392	0.19130564	0.14828013	0.15348583459854126	-0.24765834212303162	0.0030414012726396322	0.009507524780929089	6.191458702087402	0.755859375	-0.14519748091697693	-0.002984218066558242	89.45827102661133	0.6766533851623535	14.974896430969238	0.007858991622924805	8.0108642578125e-05	3.1121153831481934	18.7794931934906	0.036031504055545914	0.7974068456841996	0.00041848795076370376	4.265751037727284e-06	0.16571881632178034	0.9995799197633274
mnist-LSH-ent-0.04-512-16	5	1536	384	6	0.0	0.0	0.0	0.16869087517261505	0.1660047024488449	0.16869087517261505	0.01059468453703805	0.18919307	0.13910566	0.15330955386161804	-0.24744465947151184	0.0023863764945417643	0.015542520210146904	6.1861162185668945	0.365234375	-0.10471305251121521	-0.0023357628379017115	106.1697187423706	0.6436104774475098	15.399282693862915	0.007978200912475586	8.225440979003906e-05	0.6257617473602295	16.687830309732057	0.038567654722146065	0.9227851918461992	0.00047808497356440855	4.929005644434777e-06	0.037498089071249484	0.9993339496188036
mnist-LSH-ent-0.04-512-16	6	1792	448	7	0.0	0.0	0.0	0.16563928127288818	0.16288533806800842	0.16563928127288818	0.009415293414964632	0.19322768	0.1435315	0.1534053385257721	-0.2469269335269928	0.001993233570829034	0.015677914023399353	6.173173427581787	0.352783203125	-0.09947937726974487	-0.001948028919287026	122.72548031806946	0.661893367767334	15.542795419692993	0.00788259506225586	8.487701416015625e-05	0.3073287010192871	16.532125573022462	0.04003679773927124	0.9401571111373674	0.0004768046932282486	5.134065416165281e-06	0.01858978748145936	0.9992656351167425
mnist-LSH-ent-0.04-512-16	7	2048	512	8	0.0	0.0	0.0	0.16288422048091888	0.1664263904094696	0.16288422048091888	0.00958565908074216	0.1978013	0.13983957	0.15235722064971924	-0.24624870717525482	0.0018972334219142795	0.01568460464477539	6.156217575073242	0.378662109375	-0.10334755480289459	-0.0018541407771408558	139.07407307624817	0.47592616081237793	15.135923385620117	0.007948875427246094	8.320808410644531e-05	0.6927931308746338	16.325303416116334	0.029152668632335725	0.9271449969302218	0.000486905218521021	5.096878262262637e-06	0.042436769058191506	0.9992264367175323
mnist-LSH-ent-0.04-512-16	8	2304	576	9	0.0	0.0	0.0	0.16970166563987732	0.156348317861557	0.16970166563987732	0.0111775043387391	0.19842517	0.14925472	0.15694522857666016	-0.24584780633449554	0.0016166266286745667	0.015446055680513382	6.146195411682129	0.38427734375	-0.10226251184940338	-0.0015742720570415258	155.7972767353058	0.5921351909637451	15.716622591018677	0.007860898971557617	8.153915405273438e-05	0.37197184562683105	16.699738602502443	0.03545775206774878	0.9411298562879035	0.0004707198812309354	4.8826605010760945e-06	0.022274111857720418	0.9993373227551047
mnist-LSH-ent-0.04-512-16	9	2560	640	10	0.0	0.0	0.0	0.16604018211364746	0.16713109612464905	0.16604018211364746	0.010282967390739294	0.20800555	0.14919019	0.1559339463710785	-0.24544867873191833	0.0013870024122297764	0.009630505926907063	6.13621711730957	0.748779296875	-0.14591750502586365	-0.0013499392662197351	175.40478825569153	0.4401688575744629	16.089318990707397	0.007811069488525391	7.62939453125e-05	3.0367724895477295	19.583893637521363	0.02247606455189944	0.8215587404887348	0.000398851711161254	3.895749574861158e-06	0.1550647969068565	0.9995023494082268
