Name	Epoch	Episode	TotalEnvInteracts	TotalUpdateSteps	Random	NDomSet	RL	MAP_TRAIN	MAP_TEST	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	V	LossPi	LossV	KL	Entropy	ClipFrac	DeltaLossPi	DeltaLossV	Time	time_act	time_step	time_add	time_candi	time_update	time_sum	time_act_ratio	time_step_ratio	time_add_ratio	time_candi_ratio	time_update_ratio	time_sum_ratio
mnist-LSH-ent-0.04-512-128	0	64	128	1	0.0	0.0	0.0	0.2831394076347351	0.2689872980117798	0.2831394076347351	0.009422082164835076	0.3132524	0.25704062	0.1566942036151886	-0.2416403591632843	0.2744883894920349	0.016106434166431427	6.041008949279785	0.0555419921875	-0.05335476994514465	-0.2715396583080292	1.7370092868804932	0.1181027889251709	1.4450883865356445	0.0144500732421875	0.00011944770812988281	0.14569902420043945	1.73612127767334	0.06802680806000268	0.8323660363590943	0.008323193447379864	6.880147698550212e-05	0.08392214649641168	0.992706985839874
mnist-LSH-ent-0.04-512-128	1	128	256	2	0.0	0.0	0.0	0.29310229420661926	0.285691499710083	0.29310229420661926	0.008580454110188044	0.3157825	0.27469403	0.16390304267406464	-0.24159200489521027	0.04935427010059357	0.014067952521145344	6.03980016708374	0.781005859375	-0.14337138831615448	-0.04754779860377312	3.8749911785125732	0.058876752853393555	1.4321370124816895	0.014026403427124023	0.0001590251922607422	0.5930154323577881	2.110696892602539	0.02789446133158283	0.6785138204831632	0.006645389717625035	7.534250550995051e-05	0.28095717316690894	0.9940861872047899
mnist-LSH-ent-0.04-512-128	2	192	384	3	0.0	0.0	0.0	0.29505735635757446	0.33894723653793335	0.29505735635757446	0.008182914208920401	0.313604	0.27095833	0.16515609622001648	-0.2415873110294342	0.0413871705532074	0.015155119821429253	6.039682865142822	0.251708984375	-0.08452489972114563	-0.04000455513596535	5.612515211105347	0.0593717098236084	1.4325215816497803	0.014059066772460938	0.00016045570373535156	0.19491076469421387	1.7138050602508546	0.03464321071319394	0.8358719523445087	0.00820342237197215	9.362541134746398e-05	0.11372983381533733	0.9925420446563596
mnist-LSH-ent-0.04-512-128	3	256	512	4	0.0	0.0	0.0	0.2920740246772766	0.2685120701789856	0.2920740246772766	0.009281659377346325	0.31506667	0.27250955	0.16420409083366394	-0.24117699265480042	0.024471133947372437	0.015667231753468513	6.029424667358398	0.3037109375	-0.08621090650558472	-0.02332032099366188	7.364844799041748	0.06166338920593262	1.4339146614074707	0.014894962310791016	0.0001697540283203125	0.2044825553894043	1.7280245827270508	0.03568432406709148	0.8297999205222903	0.00861964723168741	9.823588739253827e-05	0.11833312872592579	0.9925352564343876
mnist-LSH-ent-0.04-512-128	4	320	640	5	0.0	0.0	0.0	0.28918564319610596	0.3007586598396301	0.28918564319610596	0.010002192243219894	0.31271204	0.2624961	0.16194972395896912	-0.24043811857700348	0.023533444851636887	0.016698257997632027	6.010952949523926	0.180908203125	-0.06707076728343964	-0.022607000544667244	9.08241081237793	0.06103825569152832	1.4330036640167236	0.014632463455200195	0.00016307830810546875	0.1703646183013916	1.691636185510254	0.036082377649729186	0.8471110255805281	0.008649887949037077	9.640270733288842e-05	0.1007099633837662	0.9926496572703934
mnist-LSH-ent-0.04-512-128	5	384	768	6	0.0	0.0	0.0	0.28732675313949585	0.2577211558818817	0.28732675313949585	0.010482046428691856	0.31352425	0.2585301	0.16148218512535095	-0.24010539054870605	0.015424287877976894	0.015634071081876755	6.0026350021362305	0.2713623046875	-0.07923337817192078	-0.014637783169746399	10.832686424255371	0.062111616134643555	1.4331157207489014	0.014839649200439453	0.00017023086547851562	0.20291495323181152	1.725757222039795	0.03599093507557768	0.8304271901322251	0.00859892052654974	9.86412592133369e-05	0.11758024282927348	0.9926959298228393
mnist-LSH-ent-0.04-512-128	6	448	896	7	0.0	0.0	0.0	0.29724055528640747	0.25387176871299744	0.29724055528640747	0.010793803710348635	0.32229584	0.2486156	0.16784843802452087	-0.23952342569828033	0.013824302703142166	0.015836386010050774	5.988085746765137	0.2508544921875	-0.07348029315471649	-0.013126583769917488	12.569443702697754	0.059105634689331055	1.432098150253296	0.014099359512329102	0.00016117095947265625	0.1949939727783203	1.7132533596588135	0.0344990624743918	0.8358939687347187	0.008229582293150689	9.407304445896589e-05	0.11381502430974509	0.9925317108564652
mnist-LSH-ent-0.04-512-128	7	512	1024	8	0.0	0.0	0.0	0.28941357135772705	0.2602829337120056	0.28941357135772705	0.010858438103747741	0.30600616	0.26001748	0.16334247589111328	-0.2390899658203125	0.011432161554694176	0.015204318799078465	5.9772491455078125	0.202392578125	-0.06693530082702637	-0.010814335197210312	14.336457967758179	0.06119871139526367	1.4334118366241455	0.014786005020141602	0.00019598007202148438	0.21535754203796387	1.74269710050354	0.03511723946610156	0.822524944931607	0.00848455248813422	0.00011245790904504133	0.12357715059934272	0.9898163453942306
mnist-LSH-ent-0.04-512-128	8	576	1152	9	0.0	0.0	0.0	0.2883901596069336	0.2770652174949646	0.2883901596069336	0.009374998246008986	0.306553	0.25553283	0.162626251578331	-0.23823301494121552	0.010359484702348709	0.015033798292279243	5.9558258056640625	0.3096923828125	-0.09090305864810944	-0.009803356602787971	16.138328313827515	0.07300233840942383	1.4383139610290527	0.02129340171813965	0.0002028942108154297	0.22370123863220215	1.7740589188171387	0.0411498950993682	0.8107475720073912	0.012002646300122384	0.00011436723361516667	0.12609572109440192	0.9901102017348988
mnist-LSH-ent-0.04-512-128	9	640	1280	10	0.0	0.0	0.0	0.29237914085388184	0.27649515867233276	0.29237914085388184	0.010405395679167548	0.31312865	0.2672744	0.16473446786403656	-0.2378939986228943	0.0069897971116006374	0.015725119039416313	5.94735050201416	0.2728271484375	-0.08085629343986511	-0.0064703491516411304	17.92453694343567	0.07382559776306152	1.4379916191101074	0.019553661346435547	0.0002148151397705078	0.21163249015808105	1.7610138462615967	0.04192221311591823	0.816570308156734	0.011103638615872002	0.0001219837880471709	0.12017650548708024	0.9898946491636517
