Name	Epoch	Episode	TotalEnvInteracts	TotalUpdateSteps	Random	NDomSet	RL	MAP_TRAIN	MAP_TEST	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	V	LossPi	LossV	KL	Entropy	ClipFrac	DeltaLossPi	DeltaLossV	Time	time_act	time_step	time_add	time_candi	time_update	time_sum	time_act_ratio	time_step_ratio	time_add_ratio	time_candi_ratio	time_update_ratio	time_sum_ratio
mnist-LSH-ent-0.03-512-32	0	128	64	1	0.0	0.0	0.0	0.19971507787704468	0.1973436176776886	0.19971507787704468	0.010143370052309733	0.22528136	0.17610103	0.16511061787605286	-0.18576765060424805	0.04894039034843445	0.016779787838459015	6.192255020141602	0.01123046875	-0.051171258091926575	-0.0481816865503788	8.411754608154297	0.6557891368865967	7.367535352706909	0.007779836654663086	9.34600830078125e-05	0.36887621879577637	8.410487990243531	0.07797278084783375	0.8759938021733715	0.000925016082739548	1.1112325838432866e-05	0.0438590744346447	0.998761785864428
mnist-LSH-ent-0.03-512-32	1	256	128	2	0.0	0.0	0.0	0.20248514413833618	0.18921299278736115	0.20248514413833618	0.010402269568655097	0.22125596	0.1733563	0.1712225079536438	-0.1857263445854187	0.016582559794187546	0.015203503891825676	6.190878868103027	0.18701171875	-0.08738136291503906	-0.01627437211573124	18.289392471313477	0.5689032077789307	8.250961303710938	0.010073423385620117	0.00010776519775390625	1.0021629333496094	9.846751074655153	0.05777572759437858	0.8379374314588224	0.001023020010280183	1.0944239062901298e-05	0.10177599959128718	0.9985231228938313
mnist-LSH-ent-0.03-512-32	2	384	192	3	0.0	0.0	0.0	0.19715097546577454	0.17979487776756287	0.19715097546577454	0.012075230023418659	0.22509131	0.17265876	0.16998907923698425	-0.18547728657722473	0.010391440242528915	0.015247815288603306	6.182576656341553	0.2998046875	-0.10449585318565369	-0.010168178007006645	26.818434476852417	0.5799541473388672	6.681706428527832	0.008679389953613281	8.320808410644531e-05	1.2241706848144531	8.50392280088196	0.06819842570521913	0.7857204945269327	0.0010206336718758928	9.784670681372558e-06	0.143953645097471	0.9989029836721801
mnist-LSH-ent-0.03-512-32	3	512	256	4	0.0	0.0	0.0	0.1999843716621399	0.1789843887090683	0.1999843716621399	0.009851835119837614	0.22172283	0.1813394	0.1742391586303711	-0.18517737090587616	0.007157887332141399	0.015335808508098125	6.172578811645508	0.397705078125	-0.11364658176898956	-0.006969390902668238	36.62093162536621	0.8367841243743896	8.062256813049316	0.008630514144897461	8.559226989746094e-05	0.8599903583526611	9.778662066323854	0.0855724554851057	0.8244744279296079	0.0008825863994850144	8.752963270121278e-06	0.08794560569940649	0.9988838284768752
mnist-LSH-ent-0.03-512-32	4	640	320	5	0.0	0.0	0.0	0.20256571471691132	0.1942211538553238	0.20256571471691132	0.011148145849279839	0.22552375	0.18054783	0.1727217137813568	-0.18475495278835297	0.00657753087580204	0.013485003262758255	6.158498764038086	0.756591796875	-0.14881254732608795	-0.0064092674292624	48.26377868652344	0.47997212409973145	8.377858877182007	0.013168573379516602	0.00010919570922851562	2.734041452407837	11.616891245706178	0.04131674420875191	0.7211790745031397	0.0011335712025697024	9.399735860390052e-06	0.2353505249021239	0.9989893145524456
mnist-LSH-ent-0.03-512-32	5	768	384	6	0.0	0.0	0.0	0.20281165838241577	0.20055559277534485	0.20281165838241577	0.009885990178290203	0.22350876	0.18374687	0.17244458198547363	-0.18462413549423218	0.004958916921168566	0.01512884721159935	6.15413761138916	0.658447265625	-0.1415298581123352	-0.00480613624677062	58.145891427993774	0.5781815052032471	8.035268306732178	0.010317564010620117	9.298324584960938e-05	1.2213490009307861	9.856250624520875	0.058661404547163	0.8152459401490496	0.0010468041452752392	9.433936837835779e-06	0.12391618755028944	0.9988797703286151
mnist-LSH-ent-0.03-512-32	6	896	448	7	0.0	0.0	0.0	0.20164984464645386	0.20078963041305542	0.20164984464645386	0.007503455946808131	0.22372194	0.18083252	0.17080754041671753	-0.18442204594612122	0.004435250535607338	0.015405271202325821	6.147401332855225	0.388916015625	-0.11025658249855042	-0.004305017180740833	67.79735827445984	0.7820956707000732	8.25806188583374	0.010059356689453125	0.00011777877807617188	0.5655503273010254	9.626636605126954	0.0812428787727943	0.8578345921394458	0.0010449502876316856	1.2234675817454795e-05	0.05874848615349463	0.9988831420291839
mnist-LSH-ent-0.03-512-32	7	1024	512	8	0.0	0.0	0.0	0.19964344799518585	0.20179714262485504	0.19964344799518585	0.010214061182836652	0.22642814	0.18150727	0.17073982954025269	-0.1840934455394745	0.004099652636796236	0.016050871461629868	6.136448860168457	0.26806640625	-0.09316077828407288	-0.003975691273808479	77.22113704681396	0.4477555751800537	8.341171264648438	0.00771021842956543	9.441375732421875e-05	0.586860179901123	9.399395327432252	0.04763663614331376	0.8874157298506878	0.0008202887697534182	1.004466287833123e-05	0.062435950341227196	0.9983186497678606
mnist-LSH-ent-0.03-512-32	8	1152	576	9	0.0	0.0	0.0	0.2042829394340515	0.2059118002653122	0.2042829394340515	0.011229207911410856	0.22604069	0.17730223	0.17444811761379242	-0.18375512957572937	0.0029814548324793577	0.015070000663399696	6.125170707702637	0.398681640625	-0.10808685421943665	-0.0028678816743195057	86.64672684669495	0.5160517692565918	8.18149185180664	0.009734153747558594	9.489059448242188e-05	0.6774203777313232	9.39978323446045	0.05490039040099346	0.8703915449680325	0.0010355721514802927	1.0094976885695026e-05	0.07206765952302381	0.9984052620204157
mnist-LSH-ent-0.03-512-32	9	1280	640	10	0.0	0.0	0.0	0.20852193236351013	0.19414807856082916	0.20852193236351013	0.01137017730797581	0.23610497	0.18473718	0.17605888843536377	-0.1834496110677719	0.0027484027668833733	0.015362022444605827	6.114987373352051	0.376953125	-0.10585041344165802	-0.002650065114721656	95.80850315093994	0.6537384986877441	7.623321294784546	0.008967161178588867	0.00011301040649414062	0.8354005813598633	9.135430197579957	0.0715607786988427	0.8344786320850024	0.000981580613572455	1.2370562091764208e-05	0.09144622237726331	0.9984795843367726
